ImageId;YRelW;XRelH;utility
158;0.467391;0.631136;1.000000
159;0.141304;0.630403;1.000000
161;0.794928;0.656777;1.000000
162;0.462319;0.656777;1.000000
163;0.129710;0.657143;1.000000
166;0.837681;0.736996;0.547055
167;0.503623;0.736996;0.747475
168;0.171014;0.736996;0.747075
169;0.913043;0.369963;0.993999
170;0.581159;0.370330;0.996400
171;0.247101;0.370696;0.996000
177;0.787681;0.611355;0.571957
178;0.453623;0.612088;0.671367
179;0.122464;0.611722;0.672567
188;0.928986;0.252747;0.865487
189;0.729710;0.255311;1.000000
190;0.395652;0.254945;1.000000
191;0.127536;0.254945;1.000000
194;0.889855;0.303663;1.000000
195;0.826087;0.764835;1.000000
196;0.490580;0.763736;1.000000
196;0.886957;0.282418;0.966697
197;0.160145;0.764469;1.000000
197;0.619565;0.267033;1.000000
197;0.968116;0.671795;0.515752
198;0.286957;0.267033;1.000000
198;0.792754;0.676923;1.000000
199;0.068841;0.250916;0.739374
199;0.452899;0.676557;1.000000
200;0.759420;0.763370;0.969397
200;0.144928;0.676557;1.000000
201;0.426087;0.763736;0.969997
202;0.092029;0.763736;0.970597
202;0.786957;0.850916;1.000000
203;0.783333;0.607326;0.933893
203;0.491304;0.850183;1.000000
204;0.450725;0.607326;0.933393
204;0.199275;0.849817;1.000000
205;0.118116;0.606960;0.933493
205;0.949275;0.434066;0.844284
206;0.861594;0.690842;0.899990
206;0.026812;0.747253;0.641664
206;0.693478;0.438828;0.599960
207;0.576812;0.698535;0.599960
207;0.755072;0.617216;0.992499
207;0.358696;0.438462;0.599960
208;0.866667;0.776190;0.938494
208;0.708696;0.816850;0.961596
208;0.230435;0.698901;0.599960
208;0.423913;0.616484;0.990499
208;0.710145;0.735897;0.998700
209;0.534058;0.776557;0.938194
209;0.376812;0.816850;0.861886
209;0.045652;0.787179;0.527553
209;0.086232;0.616850;0.999200
209;0.381884;0.739927;1.000000
209;0.963043;0.357875;0.837084
210;0.066667;0.816484;0.945595
210;0.200725;0.776190;0.939494
210;0.850000;0.732234;1.000000
210;0.721014;0.374359;1.000000
211;0.094203;0.784249;0.568357
211;0.389130;0.373993;1.000000
211;0.516667;0.732234;1.000000
212;0.801449;0.636630;1.000000
212;0.185507;0.732601;1.000000
212;0.089855;0.387912;0.892589
213;0.471014;0.635897;1.000000
214;0.823188;0.313553;0.962496
214;0.145652;0.635165;1.000000
214;0.926812;0.751282;0.886489
215;0.489855;0.313553;0.962496
215;0.846377;0.304029;0.973097
215;0.615942;0.750916;0.799980
216;0.156522;0.313553;0.962496
216;0.512319;0.303663;0.971697
216;0.283333;0.750916;0.899990
217;0.958696;0.772161;0.924392
217;0.881884;0.755678;1.000000
217;0.177536;0.304029;0.970097
217;0.770290;0.740293;0.599960
218;0.682609;0.778022;0.967897
218;0.560145;0.759707;1.000000
218;0.794203;0.612454;1.000000
218;0.421014;0.738828;0.699970
219;0.349275;0.778388;0.968597
219;0.232609;0.758974;1.000000
219;0.461594;0.612454;1.000000
219;0.855797;0.205861;0.699970
219;0.126087;0.732967;0.699970
220;0.058696;0.779487;0.940594
220;0.133333;0.612088;1.000000
220;0.028986;0.732967;0.908091
220;0.907971;0.250916;0.974497
221;0.188406;0.205128;0.699970
221;0.670290;0.239194;1.000000
222;0.337681;0.238828;1.000000
223;0.795652;0.776190;0.895390
223;0.094203;0.232967;0.983198
224;0.746377;0.659341;0.978798
224;0.463768;0.774359;0.997400
225;0.411594;0.660073;0.978798
225;0.131159;0.774725;0.894689
226;0.081159;0.658608;0.976298
226;0.952899;0.689377;0.936894
227;0.020290;0.281319;0.610261
227;0.749275;0.669597;1.000000
228;0.415217;0.669231;1.000000
229;0.123188;0.669597;1.000000
233;0.808696;0.698168;0.960296
233;0.973188;0.759341;0.617262
234;0.476087;0.698168;0.958696
234;0.416667;0.462637;0.532453
235;0.144203;0.698168;0.958696
235;0.083333;0.463004;0.531953
235;0.706522;0.703663;0.699970
236;0.373913;0.703663;0.698170
237;0.914493;0.731868;1.000000
237;0.075362;0.701465;0.863086
238;0.591304;0.730403;0.899990
238;0.742754;0.729304;0.799980
239;0.876812;0.735531;1.000000
239;0.256522;0.730403;0.899990
239;0.407246;0.731502;0.899990
240;0.605797;0.735165;1.000000
240;0.110870;0.714286;0.899990
241;0.271014;0.735165;1.000000
242;0.064493;0.732601;0.979698
243;0.685507;0.766300;0.599960
244;0.361594;0.766667;0.599960
245;0.941304;0.769963;0.942594
246;0.619565;0.770696;0.950195
246;0.882609;0.686447;0.799980
247;0.286957;0.770696;0.949595
247;0.602899;0.687912;0.899990
248;0.827536;0.416117;0.936094
248;0.271014;0.687912;0.899990
248;0.934783;0.783150;0.957496
249;0.494203;0.415751;0.935794
249;0.054348;0.690842;0.949795
249;0.718841;0.784982;0.899990
250;0.160870;0.415751;0.935794
250;0.388406;0.784982;0.899990
250;0.757246;0.792308;0.899990
251;0.424638;0.794872;0.899990
251;0.117391;0.786813;0.599960
252;0.901449;0.706593;0.978498
252;0.691304;0.758974;0.871187
252;0.100000;0.791941;1.000000
252;0.694203;0.231868;0.730073
253;0.981159;0.471795;0.508051
253;0.630435;0.706227;1.000000
253;0.357971;0.758608;0.870687
253;0.360870;0.231868;0.730073
254;0.800000;0.314286;1.000000
254;0.976812;0.625641;0.715572
254;0.295652;0.707692;1.000000
254;0.049275;0.756044;0.950795
254;0.047826;0.232234;0.621162
255;0.468116;0.315751;1.000000
255;0.888406;0.734432;1.000000
255;0.064493;0.702930;0.546655
256;0.745652;0.593773;0.953595
256;0.136232;0.314286;1.000000
256;0.596377;0.736264;1.000000
257;0.413043;0.593773;0.954095
257;0.263768;0.735897;1.000000
257;0.950000;0.672527;0.566857
258;0.080435;0.593773;0.953795
258;0.039855;0.737729;0.849585
259;0.766667;0.787912;0.945595
259;0.784783;0.726007;0.799980
260;0.434058;0.788645;0.945995
260;0.919565;0.791209;0.997500
260;0.452899;0.727106;0.899990
261;0.099275;0.787546;0.944894
261;0.624638;0.787912;0.799980
261;0.842754;0.687546;0.799980
261;0.138406;0.727106;1.000000
262;0.291304;0.787912;0.799980
262;0.073188;0.649084;0.527553
262;0.592029;0.689011;1.000000
262;0.965217;0.736264;0.830383
262;0.780435;0.253480;0.899990
263;0.735507;0.749817;1.000000
263;0.258696;0.690110;1.000000
263;0.450000;0.253480;0.799980
264;0.409420;0.750916;1.000000
264;0.079710;0.686447;1.000000
264;0.118116;0.253846;0.799980
265;0.104348;0.749084;0.899990
266;0.947101;0.637363;0.955896
266;0.813768;0.280220;1.000000
266;0.875362;0.774359;0.946095
267;0.781884;0.735531;0.931493
267;0.478986;0.279853;1.000000
267;0.541304;0.774359;0.946595
267;0.740580;0.637729;0.899990
268;0.449275;0.735531;0.931093
268;0.151449;0.279487;1.000000
268;0.207971;0.774359;0.947595
268;0.401449;0.637729;0.899990
269;0.114493;0.735897;0.932293
270;0.858696;0.311355;0.544454
274;0.900000;0.791209;0.957096
275;0.853623;0.231868;0.931793
275;0.565217;0.791209;0.957096
275;0.971739;0.364103;0.511751
276;0.521014;0.231868;0.931293
276;0.232609;0.791575;0.957096
277;0.188406;0.231868;0.931793
277;0.908696;0.651648;0.699970
278;0.634058;0.654212;0.699970
279;0.788406;0.613553;0.794179
279;0.305797;0.647619;0.799980
280;0.455072;0.613919;0.893989
280;0.060145;0.654579;0.885289
281;0.908696;0.225275;0.982598
281;0.138406;0.613553;0.996800
282;0.599275;0.226007;1.000000
283;0.265942;0.226007;1.000000
285;0.044203;0.238462;0.529753
287;0.944928;0.727106;0.940194
288;0.781159;0.773993;0.899990
288;0.644928;0.726007;0.968497
288;0.867391;0.591941;0.743074
289;0.445652;0.773626;0.899990
289;0.900000;0.694505;0.599960
289;0.312319;0.725641;0.968497
